"Species","SubPlotID","Temperature","Water","Depth","Soil..total.wt..","Soil_moisture","Dry_Root","Dry_soil","Moisture....","Dry_soil_total","Root_mass.g.g.","Root_mass..mg.g.","Shelter","rooting_depth","Dry_Root_cum","root_biomass_total","beta","rooting.depth.cal"
"PhaSub","S3P4D","eT","Con","10_20",1305.9,33.23,0.301,32.073,3.48179356,1260.431258,0.000238807,0.238807153,"S3",20,1.019,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S4P3C","eT","Con","0_10",962.3,24.6,1.116,23.983,2.508130081,938.1642642,0.001189557,1.189557141,"S4",10,1.116,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S4P3C","eT","Con","10_20",1267.2,38.35,0.658,37.252,2.863102999,1230.918759,0.00053456,0.534560055,"S4",20,1.774,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S4P5B","Amb","Con","0_10",993.6,40.26,0.968,38.831,3.549428713,958.3328763,0.001010087,1.010087438,"S4",10,0.968,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S4P5B","Amb","Con","10_20",1225.6,40.88,0.869,39.59,3.155577299,1186.925245,0.000732144,0.732143835,"S4",20,1.837,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S5P3D","eT","Con","0_10",966,47.42,0.579,45.976,3.045128638,936.5840574,0.000618204,0.618203989,"S5",10,0.579,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S5P3D","eT","Con","10_20",1315.9,47.99,0.376,46.669,2.752656804,1279.677789,0.000293824,0.293823963,"S5",20,0.955,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S5P6D","Amb","Con","0_10",972.1,40.79,1.268,39.765,2.512870802,947.6723829,0.001338015,1.338015144,"S5",10,1.268,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S5P6D","Amb","Con","10_20",1322.3,35.64,0.692,34.824,2.28956229,1292.025118,0.000535593,0.535593303,"S5",20,1.96,2.75276382861095,0.954830478035969,64.8125784734266
"PhaSub","S6P4A","Amb","Con","0_10",1170.5,45.1,1.212,43.718,3.064301552,1134.63235,0.001068187,1.068187417,"S6",10,1.212,2.75276382861095,0.954830478035969,64.8125784734266
